no,category,korean_search,title,authors,status,file_path,legal_source_url,notes
14,사업·경영·전략,비즈니스 모델의 탄생,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers","Alexander Osterwalder; Yves Pigneur",need_legal_copy,,,
15,사업·경영·전략,밸류 프로포지션 디자인,Value Proposition Design: How to Create Products and Services Customers Want,"Alexander Osterwalder; Yves Pigneur; Greg Bernarda; Alan Smith",need_legal_copy,,,
16,사업·경영·전략,비즈니스 아이디어 테스트,Testing Business Ideas,"David J. Bland; Alexander Osterwalder",need_legal_copy,,,
17,사업·경영·전략,무적의 회사,The Invincible Company: How to Constantly Reinvent Your Organization with Inspiration From the World's Best Business Models,"Alexander Osterwalder; Yves Pigneur; Frederic Etiemble; Alan Smith",need_legal_copy,,,
